meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,exp_mode,cmd_DF,cmd_F,cmd_G
0.000995204274844359,0.2062997912173303,-0.0013784541625640535,-1.44,9.9,1.0,0.3305154576250331,46.64,1,0.0,0.2,0.0
-0.007965626916403389,0.21400267569748826,-0.010874534018283396,-1.44,9.9,1.0,0.4068117313150239,46.645,1,0.0,0.2,0.0
-0.007637912643262724,0.2047247717545856,-0.006914497735954132,-1.44,9.9,1.0,0.4525894955290184,46.65,1,0.0,0.2,0.0
0.007765581199371009,0.2044596316513797,0.0015525873465545316,-1.44,9.9,1.0,0.4068117313150239,46.655,1,0.0,0.2,0.0
0.00737659907394222,0.20048494489202265,0.0036173032939659025,-1.44,9.9,1.0,0.5899227881710019,46.660000000000004,1,0.0,0.2,0.0
-0.01505283386285995,0.1952310837539634,0.004531402348595876,-1.44,9.9,1.0,0.4525894955290184,46.665,1,0.0,0.2,0.0
-0.02154507020722907,0.20357935539406954,-0.009038430134828591,-1.44,9.9,1.0,0.4068117313150239,46.67,1,0.0,0.2,0.0
-0.011899012195744133,0.21323889396521584,-0.013463602366166887,-1.44,9.9,1.0,0.26947843867304044,46.675000000000004,1,0.0,0.2,0.0
0.005533233855355355,0.21742194127262934,-0.010392092912465886,-1.44,9.9,1.0,0.31525620288703493,46.68,1,0.0,0.2,0.0
0.020667703258394232,0.21612999281407178,-0.007711327529837309,-1.44,9.9,1.0,0.605182042909,46.685,1,0.0,0.2,0.0
0.02645263719302994,0.2217934865535554,-0.012613944672209767,-1.44,9.9,1.0,0.3610339671010294,46.69,1,0.0,0.2,0.0
0.02864037457378433,0.2248621789793517,-0.01541156296411402,-1.44,9.9,1.0,0.4525894955290184,46.695,1,0.0,0.2,0.0
0.010546953585748333,0.20809106806856922,-0.002441818484622045,-1.44,9.9,1.0,0.5441450239570074,46.7,1,0.0,0.2,0.0
-0.013784978203714797,0.20711595121558532,-0.008142166723563079,-1.44,9.9,1.0,0.39155247657702574,46.705,1,0.0,0.2,0.0
-0.020652233235854852,0.19493973865037517,0.0007596330395510654,-1.44,9.9,1.0,0.2847376934110386,46.71,1,0.0,0.2,0.0
0.002704232921991133,0.20195361560272698,0.0012486047720284942,-1.44,9.9,1.0,0.4831080050050147,46.715,1,0.0,0.2,0.0
0.009300043955670582,0.2084343210445933,-0.0016289416455781385,-1.44,9.9,1.0,0.2542191839350423,46.72,1,0.0,0.2,0.0
0.0034142462294096143,0.2012544796029264,0.004391504112627601,-1.44,9.9,1.0,0.43733024079102023,46.725,1,0.0,0.2,0.0
-0.006004307879437053,0.20129474562118008,0.00015009008288742977,-1.44,9.9,1.0,0.39155247657702574,46.730000000000004,1,0.0,0.2,0.0
0.008044718501692737,0.20496942946499286,-0.004349663888943806,-1.44,9.9,1.0,0.26947843867304044,46.735,1,0.0,0.2,0.0
-0.0044672609970949516,0.21102303021422608,-0.011947211755329411,-1.44,9.9,1.0,0.5746635334330037,46.74,1,0.0,0.2,0.0
-0.0016001144543993902,0.21752987822219416,-0.013795116110024616,-1.44,9.9,1.0,0.22370067445904596,46.745,1,0.0,0.2,0.0
-0.0076460049549476605,0.21291040686884888,-0.006882281886948052,-1.44,9.9,1.0,0.34577471236303126,46.75,1,0.0,0.2,0.0
-0.017598929582427814,0.2089585616291434,-0.010134626737140067,-1.44,9.9,1.0,0.513626514481011,46.755,1,0.0,0.2,0.0
-0.009588492753127554,0.2045585824791658,-0.00534414693986528,-1.44,9.9,1.0,0.5288857692190092,46.76,1,0.0,0.2,0.0
-0.0015524458300797018,0.20387922980014267,0.0018431980878897908,-1.44,9.9,1.0,0.3762932218390276,46.765,1,0.0,0.2,0.0
-0.007340956568795561,0.20655757497611485,-0.002468522174589476,-1.44,9.9,1.0,0.26947843867304044,46.77,1,0.0,0.2,0.0
-0.009625786484745137,0.2006926984698635,0.0044804695068726185,-1.44,9.9,1.0,0.4983672597430129,46.775,1,0.0,0.2,0.0
-0.013347966657959053,0.19714909922478296,0.004148098889505411,-1.44,9.9,1.0,0.31525620288703493,46.78,1,0.0,0.2,0.0
-0.010556247017960091,0.19955041276765953,-0.002109586477403306,-1.44,9.9,1.0,0.696737571336989,46.785000000000004,1,0.0,0.2,0.0
-0.007014709737531143,0.2013268508361153,-0.00421933523129509,-1.44,9.9,1.0,0.4831080050050147,46.79,1,0.0,0.2,0.0
-0.014148421611046461,0.20197524829206775,-0.0010905770246972598,-1.44,9.9,1.0,0.4525894955290184,46.795,1,0.0,0.2,0.0
0.007172966936235841,0.21351318428951793,-0.004405106224756055,-1.44,9.9,1.0,0.39155247657702574,46.800000000000004,1,0.0,0.2,0.0
-0.006852810787636632,0.20377483915409847,-0.0027782019525730305,-1.44,9.9,1.0,0.4831080050050147,46.805,1,0.0,0.2,0.0
0.0020996363658150902,0.20521989647717276,-0.0014177540340108165,-1.44,9.9,1.0,0.26947843867304044,46.81,1,0.0,0.2,0.0
0.00831148646308061,0.20866483469686858,0.0013076898064245466,-1.44,9.9,1.0,0.29999694814903677,46.815,1,0.0,0.2,0.0
-0.014910532190746877,0.2069077859228835,-0.008945126012188397,-1.44,9.9,1.0,0.4068117313150239,46.82,1,0.0,0.2,0.0
-0.018199368400025773,0.21011257323905688,-0.011875734150425525,-1.44,9.9,1.0,0.46784875026701656,46.825,1,0.0,0.2,0.0
